"SpName"	"Spec"	"Clade"	"Breeding System"	"BS"	"Habit"	"Water"	"Pollinator"	"Poll2"	"Poll"	"SepalMin"	"SepalMax"	"Sepal"
"adamantis"	"ADAM"	"SIII"	"gynodioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	3.4	4.5	3.95
"globosa"	"GLOB"	"SIII"	"dioecious(sub)"	"D"	"subshrub"	"dry"	"Wind"	"W"	"W"	2.5	3.3	2.9
"haleakalensis"	"HALE"	"SIII"	"dioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	2.5	3	2.75
"ligustrina"	"LIGU"	"SIII"	"dioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	2.2	2.7	2.45
"lydgatei"	"LYDG"	"SIII"	"hermaphroditic"	"H"	"shrub"	"dry"	"Moth, Wind"	"A"	"M"	4	4.7	4.35
"mannii"	"MANN"	"SIII"	"dioecious(sub)"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"			
"menziesii"	"MENZ"	"SIII"	"hermaphroditic"	"D"	"shrub"	"dry"	"Wind"	"U"	"W"	4	5	4.5
"salicaria"	"SALI"	"SIII"	"gynodioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	3.1	4.2	3.65
"sarmentosa"	"SARM"	"SIII"	"gynodioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	2.8	3.5	3.15
"hookeri"	"HOOK"	"SII"	"hermaphroditic"	"D"	"subshrub"	"mesic"	"Moth"	"M"	"M"	3.3	4.5	3.9
"kealiae"	"KEAL"	"SII"	"dioecious(sub)"	"D"	"subshrub"	"dry"	"Wind"	"W"	"W"	2.5	3.4	2.95
"spergulina"	"SPER"	"SI"	"dioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	2.5	2.65	2.575
"diffusa diffusa"	"DIFF"	"MI3"	"hermaphroditic, facultative autogamy"	"H"	"vine"	"wet"	"None"	"S"	"N"			
"hawaiiensis"	"HAWA"	"MI3"	"hermaphroditic, facultative autogamy"	"H"	"vine"	"dry"	"Wind-facilitated selfing"	"S"	"W"			
"jacobii"	"JACO"	"MI2"	"hermaphroditic, facultative autogamy"	"H"	"perennial herb"	"wet"	"None"	"S"	"N"	3.9	4.2	4.05
"kaalae"	"KAAL"	"MI2"	"hermaphroditic"	"H"	"perennial herb"	"mesic"	"Moth"	"M"	"M"	3.5	4.1	3.8
"laui"	"LAUI"	"MI2"	"hermaphroditic, obligate autogamy"	"H"	"subshrub"	"wet"	"None"	"S"	"N"			
"nuttallii"	"NUTT"	"MI2"	"hermaphroditic"	"H"	"subshrub"	"mesic"	"Moth?"	"M"	"M"	3.5	4.5	4
"pentandra"	"PENT"	"MI1"	"hermaphroditic"	"H"	"vine"	"mesic"	"Moth?"	"U"	"M"			
"pubescens"	"PUBE"	"MI1"	"hermaphroditic"	"H"	"vine"	"mesic"	"Moth?"	"U"	"M"			
"kauaiensis"	"KAUA"	"MIIb"	"hermaphroditic"	"H"	"subshrub"	"mesic"	"Moth?"	"M"	"M"	4.3	5.1	4.7
"perlmanii"	"PERL"	"MIIb"	"hermaphroditic"	"H"	"vine"	"mesic"	"Moth?"	"U"	"M"	2.2	3	2.6
"stellarioides"	"STEL"	"MIIa"	"hermaphroditic"	"H"	"subshrub"	"mesic"	"None"	"S"	"M"	2.8	3.6	3.2
"lychnoides"	"LYCH"	"BN"	"hermaphroditic, facultative autogamy"	"H"	"vine"	"wet"	"Bird"	"S"	"N"	9	12	10.5
"viscosa"	"VISC"	"BN"	"hermaphroditic, facultative autogamy"	"H"	"vine"	"mesic"	"Bird/none"	"S"	"N"	6.5	9	7.75
"obovata"	"OBOV"	"BAls"	"hermaphroditic, facultative autogamy"	"H"	"shrub"	"mesic"	"Bird"	"S"	"N"	7	8.4	7.7
"trinervis"	"TRIN"	"BAls"	"hermaphroditic, obligate autogamy"	"H"	"shrub"	"wet"	"None"	"S"	"N"	6	8	7
"attenuata"	"ATTE"	"Ba"	"hermaphroditic"	"H"	"shrub"	"mesic"	"Moth?"	"U"	"M"			
"verticillata"	"VERT"	"B"	"hermaphroditic"	"H"	"perennial herb"	"dry"	"Moth"	"M"	"M"	8	10.5	9.25
"apokremnos"	"APOK"	"Am"	"gynodioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	2	2.85	2.425
"helleri"	"HELL"	"Alp"	"hermaphroditic"	"H"	"vine"	"wet"	"Moth?"	"U"	"M"			
"membranacea"	"MEMB"	"Alp"	"hermaphroditic"	"H"	"perennial herb"	"mesic"	"Moth?"	"M"	"M"	2	2.7	2.35
"amplexicaulis"	"AMPL"	0	"hermaphroditic"	"H"	"subshrub"	"mesic"	"Moth?"	"M"	"M"			
"implexa"	"IMPL"	0	"hermaphroditic"	"H"	"subshrub"	"mesic"	"Moth?"	"M"	"M"			
"Silene alexandri"	"SILE"	"Out"	"hermaphroditic"	"H"	"subshrub"	"mesic"	"Moth"	"M"	"M"			
"salmen"	"SALM"	"SIII"	"gynodioecious"	"D"	"shrub"	"dry"	"Wind"	"W"	"W"	4	5	4.5
"kaho"	"KAHO"	"Hyb"	"hermaphroditic"	"H"	"perennial herb"	"mesic"	"Moth"	"M"	"M"	3.4	4.3	3.85
