CAS	oldIUPAC.Name	newName
80-56-8		α-pinene
127-91-3		β-pinene
99-83-2	2-methyl-5-propan-2-ylcyclohexa-1,3-diene	α-phellandrene
555-10-2		β-phellandrene
17699-16-0		4-thujanol
15537-55-0		4-thujanol
78-70-6	3,7-dimethylocta-1,6-dien-3-ol	linalool
39028-58-5	(3~{R},6~{S})-6-ethenyl-2,2,6-trimethyloxan-3-ol	linalool oxide (pyranoid)
33933-72-1	6-ethenyl-2,2,6-trimethyloxan-3-one	linalool oxide (pyranoid) ketone
1125-21-9	2,6,6-trimethylcyclohex-2-ene-1,4-dione	4-oxoisophorone
28634-89-1		β-thujene
99-87-6	1-methyl-4-propan-2-ylbenzene	p-cymene
28115-85-7	2-methylbenzoyl isothiocyanate	unknown benzenoid
5989-33-3	2-(5-ethenyl-5-methyloxolan-2-yl)propan-2-ol	linalool oxide (furanoid)
5780-40-5		(Z)-isovaleraldoxime
5775-74-6		(E)-isovaleraldoxime
49805-55-2		(E)-2-methylbutyraldoxime
5780-39-2		(Z)-isobutyraldoxime
1538-75-6	2,2-dimethylpropanoyl 2,2-dimethylpropanoate	2-oxohexanoic acid
627-39-4		propanaldoxime
EPA-132-13-0		1,2-oxidolinalool
138-86-3		limonene
19549-83-8		2,6-dimethylheptan-3-one
18794-84-8		(E)-β-farnesene
120-72-9	1~{H}-indole	indole
19945-61-0 		(3E)-4,8-dimethylnona-1,3,7-triene
123-35-3	7-methyl-3-methylideneocta-1,6-diene	β-mercene
75314-19-1	2-methyl-2-(oxiran-2-yl)cyclobutan-1-one	unknown 169
3779-61-1	(3~{E})-3,7-dimethylocta-1,3,6-triene	(E)-β-ocimene
4630-07-3	Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1R-(1.alpha.,7.beta.,8a.alpha.)]-	valencene
7642-10-6	(Z)-hept-3-ene	hept-3-ene
18829-55-5	2-Heptenal, (E)-	hept-2-enal
18368-95-1	1-methyl-4-prop-1-en-2-ylcyclohexa-1,3-diene	p-mentha-1,3,8-triene
72237-36-6	4-Hexen-1-ol, acetate	hex-4-enyl acetate
928-96-1	3-Hexen-1-ol, (Z)-	(Z)-hex-3-en-1-ol
3777-69-3	Furan, 2-pentyl-	2-pentylfuran
EPA-7965	4-(3,3-dimethyloxiran-2-yl)-2-(oxiran-2-yl)butan-2-ol	epoxy-linalooloxide
28564-83-2	4H-Pyran-4-one, 2,3-dihydro-3,5-dihydroxy-6-methyl-	3,5-dihydroxy-6-methyl-2,3-dihydropyran-4-one
539-52-6	3-(4-methylpent-3-enyl)furan	perillene
15186-51-3	3-methyl-2-(3-methylbut-2-enyl)furan	rosefuran
