"","CAP1","CAP2","CAP3"
"benzonitrile",0.00255850651404138,0.000484590916421164,0.0138661142974581
"benzaldehyde",-0.0537724995389245,-0.251917395012918,-0.11166198469635
"anisole",-0.0210782968810422,0.0353658217331284,0.0244552655666689
"1,3-diphenylpropan-2-one",0.00425114441078745,-0.018028257071692,0.0254936173325323
"N-phenylformamide",-0.0202980554179852,-0.0206027645091203,0.00480376515433087
"octan-3-one",-0.0132469445277937,0.120468876474465,0.09452709216236
"methyl hexanoate",-0.00683167477284092,0.0246100832221393,0.00822424912223152
"but-2-ene-1,4-diol",-0.000239333579709079,-0.00954787813243428,-0.0233094348173633
"octan-2-one",0.00663949015105585,0.0187929732417258,0.0111335142067924
"hexan-1-ol",0.00208431479239056,-0.0238250599677757,0.0211243401733256
"4-oxoisophorone",0.0987900322025235,-0.0422567887377933,0.0597167125688894
"2-methylbutanoic acid",-0.00153257575414136,-0.0102402832949955,-0.00287703101227078
"indole",-0.0863919696263459,-0.288989184974503,0.00950337734095353
"cyclopentanone",-0.00222241049046145,0.0243129501452745,0.00264574051211962
"2-phenylacetaldehyde",0.127243366936598,-0.015852429591952,0.272077723205729
"β-mercene",0.0189428630742515,-0.0115359405732776,0.0723474848545556
"ethyl hexanoate",-0.000153474759003774,-0.00393726783604563,0.00834366660021373
"methyl furan-3-carboxylate",-0.0103950599890108,0.0315902450583934,0.0112872823758078
"methyl 2-aminobenzoate",-0.0556229016985517,-0.15293967276197,-0.00323613507821546
"methyl (Z)-hex-3-enoate",-0.0133829251825489,-0.00993386167603446,0.00393176394937913
"2-phenylacetonitrile",0.00560316624679221,-0.00456685589790648,0.0211903749206529
"4-hydroxy-2,6,6-trimethyl-3-oxocyclohexene-1-carbaldehyde",0.0361591507938218,-0.0168201737515672,-0.0075294574712555
"rosefuran",-0.00256101698206625,-0.0308693985054654,0.00195917770795451
"(Z)-pent-2-en-1-ol",-0.00613690730530119,0.0265777641084238,0.00832427172352383
"pent-1-en-3-one",0.00678386679505462,-0.0287522297904688,0.0300798293276277
"3,7-dimethylundecane",-0.00153768938303162,0.0141519165672808,0.000805311748904831
"5,7-dimethylundecane",-0.0020067191097001,0.054490915210623,-0.0108976968740848
"hept-2-enal",0.0162727788117012,0.0376556969000867,-0.0745938306703841
"2,3,5,8-tetramethyldecane",0.000155339968636551,0.0310625634882566,-0.0425030545377039
"(3E)-4,8-dimethylnona-1,3,7-triene",-0.0498918512237952,-0.209697061748297,-0.0189420138331414
"2,2,6-trimethylcyclohexane-1,4-dione",0.0571081313654607,-0.0180512388904495,-0.00616765752246556
"4-methyloctane",0.00701939346715616,-0.00979894471243759,0.0366007205634752
"methyl (E)-hex-2-enoate",-0.0081013965964707,-0.0131405843443189,0.000887224200530198
"propylcyclopropane",-0.00366804650150504,0.00254712154586517,0.0837856911964779
"tridec-1-ene",0.000502168490507934,-0.020629113055012,0.0211902545230423
"3,5,5-trimethylhex-2-ene",-0.0387833601734005,0.00498991362096051,0.0390902314897055
"unknown benzenoid",-0.108890238975418,-0.460676573340825,-0.0195567274710711
"3,5-dihydroxy-6-methyl-2,3-dihydropyran-4-one",-0.00151857322786842,-0.0465639090142076,0.00533044009623345
"hept-1-en-3-one",0.00968015858098058,0.00233831950196367,-0.0431286967049132
"cyclopentane-1,2-dione",-0.00565951816176756,-0.143106516703536,-0.00960026216142654
"[(Z)-hex-3-enyl] hexanoate",-0.0149943191861394,-0.0126852410663001,0.00407939758294228
"[(Z)-hex-3-enyl] formate",-0.00237830086924717,0.0188491558346747,0.0265610781535174
"oct-1-en-3-ol",0.0452185013128073,0.157717270808054,0.121647431287043
"linalool oxide (pyranoid) ketone",0.605411824398428,-0.26189596245699,-0.107305719446092
"[(Z)-hex-3-enyl] acetate",-0.0148524683296038,-0.0785901806163887,-0.00978916483234041
"(E)-β-ocimene",0.0107460031326804,-0.00502891081254254,0.011564096893466
"linalool oxide (pyranoid)",0.592014385522296,-0.34491992700928,0.751700346398524
"(3E,5E)-octa-1,3,5-triene",-0.00760902857942991,0.00175214288271509,0.00378553468855011
"3,5,5-trimethylhex-1-ene",-0.0022504828360937,-0.019783427625196,0.00499193100432068
"furan-3-ylmethanol",-0.0210577132033622,-0.0715317491733136,-0.0090171256539559
"(E)-hex-3-enal",-0.0586577000842763,0.125376699400922,0.0526153745446787
"valencene",-0.00506731786563218,0.0341021402824627,0.00941983523813031
"1,3-dihydro-2-benzofuran",-0.0499233594973535,-0.281245157024957,-0.0364821014040628
"[(E)-hex-3-enyl] butanoate",-0.0143654586445965,-0.0448868899342875,-0.0029482767147094
"perillene",0.00151740273576802,-0.0504344340434035,0.0253541198235496
"2,6,6-trimethyloctane",-0.00145530865147107,0.0241975430708134,-0.0357469762874457
"(E)-hept-2-ene",-0.00142372046179564,-0.00896081854648672,0.0021695219429289
"3H-pyran-2,6-dione",-0.00316296042882992,-0.0590823141539149,0.0043009568880694
"linalool oxide (furanoid)",0.430868760259293,-0.216856869287416,0.4607186332787
"6-methylheptan-3-one",0.00527921023522075,-0.00418721552332749,0.0516419525620276
"pentyl propanoate",0.00118382530603059,0.0206557100451874,0.0384160457589055
"4-methylpentan-1-ol",-0.00439263527222772,0.00544485783948056,0.00794777458731786
"hexanal",-0.000965065128819009,0.226281987535801,-0.094691677272723
"(E)-hex-2-enal",-0.0689238355667862,0.0498821902805535,0.0414141379053649
"4-methyl-1,3-thiazole",-0.0015376503874917,-0.00537308396427754,-0.000434654804668852
"hex-4-enyl acetate",-0.0186650932012667,-0.00576724301433801,0.00717765638794788
"hept-3-ene",-0.00873642259465571,-0.00148270743375191,0.00612396699041907
"linalool",0.00544158033938171,-0.0217981795304237,-0.0455253628064795
"2-methylnonane",-0.00321432355995387,-0.00970903609881252,-0.0187960200920448
"dec-1-ene",-0.000543850064867383,-0.00280378626650656,-0.00633875164421807
"heptane-2,3-dione",-0.065460141750024,-0.279920908780666,-0.00744299988203157
"methyl prop-2-enoate",-0.00311803281109519,-0.0246379583043684,-0.0105713960712222
"α-phellandrene",0.118560701465165,-0.0880098724720633,0.179582500863877
"p-cymene",0.0406324908560348,0.0314940274570467,0.0299618291073359
"epoxy-linalooloxide",0.0224888124279079,-0.0196747569308599,0.0955370957730527
