"","879WKG","WK","3587WP","892WKG","904WPG"
"879WKG",9,2,3,1,3
"WK",4,6,4,5,5
"3587WP",2,3,5,0,3
"892WKG",0,0,3,3,1
"904WPG",4,2,2,1,4
